time,gps_fix,lora_ok,lat,lon,alt_m,speed_ms,temp_c,pressure_pa,pitch,roll,yaw,ax,ay,az,gx,gy,gz
17:37:18,1,0,N22.17586,E113.07315,10.0,0.0,30.7,101289.4,-3.83,-2.41,0,0.04492188,-0.07128906,1.063721,-2.167939,3.374046,0.3740458
17:37:18,1,0,N22.17586,E113.07315,10.0,0.0,30.7,101289.8,-3.58,-2.45,0,0.0456543,-0.06665039,1.06543,-1.717557,3.343511,0.4427481
17:37:18,1,0,N22.17586,E113.07315,10.0,0.0,30.7,101289.8,-3.53,-2.89,0,0.05371094,-0.06567383,1.063477,-1.748092,3.221374,0.5114504
17:37:18,1,0,N22.17586,E113.07315,10.2,0.0,30.7,101288.1,-3.57,-2.58,0,0.04785156,-0.06616211,1.061279,-1.793893,3.045802,0.2748091
17:37:19,1,0,N22.17586,E113.07315,9.9,0.0,30.7,101291.4,-3.63,-2.45,0,0.04589844,-0.06787109,1.071045,-1.717557,3.167939,0.3816794
17:37:19,1,0,N22.17586,E113.07315,9.8,0.0,30.7,101292.8,-3.82,-2.54,0,0.04711914,-0.07080078,1.061523,-1.847328,3.305344,0.1221374
17:37:19,1,0,N22.17586,E113.07315,9.9,0.0,30.7,101291.2,-3.77,-2.59,0,0.04833984,-0.0703125,1.06665,-1.709924,3.259542,0.09160305
17:37:19,1,0,N22.17586,E113.07315,10.0,0.0,30.7,101290.4,-3.76,-2.57,0,0.04785156,-0.07006836,1.064941,-2.007634,2.961832,0.3435115
17:37:20,1,0,N22.17586,E113.07315,9.8,0.0,30.7,101291.7,-3.72,-2.73,0,0.05078125,-0.0690918,1.062012,-1.961832,2.946565,0.3664122
17:37:20,1,0,N22.17586,E113.07315,9.9,0.0,30.7,101290.9,-3.51,-2.42,0,0.04492188,-0.06518555,1.061768,-1.656489,3.053435,0.2748091
17:37:20,1,0,N22.17586,E113.07315,9.8,0.0,30.7,101291.9,-3.66,-2.51,0,0.04663086,-0.06787109,1.0625,-1.748092,3.282443,0.3664122
17:37:20,1,0,N22.17586,E113.07315,9.8,0.0,30.7,101292.7,-3.60,-2.62,0,0.04882813,-0.06689453,1.063721,-1.603053,3.221374,0.480916
17:37:20,1,0,N22.17586,E113.07315,9.8,0.0,30.7,101292.3,-3.68,-2.73,0,0.05102539,-0.06860352,1.06665,-1.89313,3.290076,0.4885496
17:37:21,1,0,N22.17586,E113.07315,9.6,0.0,30.7,101294.3,-3.77,-2.65,0,0.04956055,-0.0703125,1.06665,-1.954198,3.396947,0.2061069
